DCEanCode,Supplier Primary EAN,Supplier Despatch Point,Vendor Code,DocDate,DocumentType,SupplierDocumentNo,StoreCode,StoreName,StoreEanCode,DocumentAmountExcl,DocumentAmountIncl,DiscountAmountExcl,DiscountAmountIncl,VatAmountPayable,NetAmountIncl,PaymentNumber
6001008000034,6001299000010, ,001518,04/07/2016,INV,62361844,21922,FONTANA NEWTOWN SPAR,6001008410291,6613.70,7132.31,337.96,381.20,475.37,6751.11,294081
6001008000034,6001299000010, ,001518,01/07/2016,CR,62206476,21683,SAVEWAYS SUPERSPAR,6001008407895,-623.94,-686.15,-31.89,-36.10,-58.00,-650.05,294081
6001008000034,6001299000010, ,001518,08/07/2016,CR,62414490,21983,OUKLIP SPAR,6001008411175,-1674.81,-1898.68,-85.58,-97.46,-211.99,-1801.22,294081
6001008000034,6001299000010, ,001518,28/07/2016,CR,62726894,10213,HILLBROW SPAR,6001008400179,-141.00,-141.00,-7.21,-8.02,0.81,-132.98,294081
6001008000034,6001299000010, ,001518,19/07/2016,CR,61225544,21637,BEL AIR SUPERSPAR,6001008407468,-226.40,-258.10,-11.57,-13.19,-30.08,-244.91,294081
6001008000034,6001299000010, ,001518,04/07/2016,INV,62364153,21199,RYNFIELD SUPERSPAR,6001008402494,22695.93,24430.57,1159.76,1307.70,1586.70,23122.87,294081
6001008000034,6001299000010, ,001518,04/07/2016,INV,62342199,21635,RIVIERA KWIKSPAR,6001008407697,3016.18,3330.73,154.13,174.64,294.04,3156.09,294081
6001008000034,6001299000010, ,001518,22/07/2016,CR,62687501,21424,SCHWEIZER SPAR (FS),6001008405631,-25.50,-25.50,-1.31,-1.46,0.15,-24.04,294081
6001008000034,6001299000010, ,001518,06/07/2016,INV,62395257,25045,SYLVANIA SUPERSPAR (FS),6001008403033,3149.17,3590.05,160.93,183.46,418.35,3406.59,294081
6001008000034,6001299000010, ,001518,04/07/2016,INV,62362848,21682,TASBET SUPERSPAR,6001008407888,6176.97,6671.48,315.64,356.13,454.02,6315.35,294081
