DCEanCode,Supplier Primary EAN,Supplier Despatch Point,Vendor Code,DocDate,DocumentType,SupplierDocumentNo,StoreCode,StoreName,StoreEanCode,DocumentAmountExcl,DocumentAmountIncl,DiscountAmountExcl,DiscountAmountIncl,VatAmountPayable,NetAmountIncl,PaymentNumber
6001008000041,6004932013088, ,010355,05/06/2016,INV,INV000164,30949,TOPS @ FLORA PARK NTV/013282,6001008510236,7762.00,8848.68,504.53,575.16,1016.05,8273.52,296825
6001008000041,6004932013088, ,010355,05/06/2016,INV,INV000161,30728,MOFAGO SPAR,6001008508066,2084.00,2375.76,135.46,154.42,272.80,2221.34,296825
6001008000041,6004932013088, ,010355,05/06/2016,INV,INV000163,30632,TOPS @ PLATINUM PARK-NTV028738,6001008507076,2596.00,2959.44,168.74,192.36,339.82,2767.08,296825
6001008000041,6004932013088, ,010355,15/06/2016,INV,INV000199,30652,TOPS @ MOGOL-NTV 029125,6001008507298,5270.00,6007.80,342.55,390.51,689.84,5617.29,296825
6001008000041,6004932013088, ,010355,06/06/2016,INV,INV000167,30696,LIMPOPO TOPS   DC ACCOUNT,6001008507748,2328.00,2653.92,151.32,172.50,304.74,2481.42,296825
6001008000041,6004932013088, ,010355,05/06/2016,INV,INV000160,30563,TOPS @ THE REEDS-GAU/200890C,6001008505454,2724.00,3105.36,177.06,201.85,356.57,2903.51,296825
6001008000041,6004932013088, ,010355,05/06/2016,INV,INV000162,30901,THORNHILL TOPS DC ACCOUNT,6001008509742,580.00,661.20,37.70,42.98,75.92,618.22,296825
6001008000041,6004932013088, ,010355,15/06/2016,INV,INV000198,30682,TOPS AT MARULA - NTV02/301,6001008507588,2576.00,2936.64,167.44,190.88,337.20,2745.76,296825
6001008000041,6004932013088, ,010355,30/06/2016,INV,INV000216,30895,TOPS @ SOSH CROSSING GLB501405,6001008509698,2424.00,2763.36,157.56,179.62,317.30,2583.74,296825
6001008000041,6004932013088, ,010355,03/06/2016,INV,INV000155,30465,TOPS @ MARBLE HALL-NTV027979,6001008504426,3126.00,3563.64,203.19,231.64,409.19,3332.00,296825
6001008000041,6004932013088, ,010355,30/06/2016,INV,INV000215,30632,TOPS @ PLATINUM PARK-NTV028738,6001008507076,2052.00,2339.28,133.38,152.05,268.61,2187.23,296825
6001008000041,6004932013088, ,010355,05/06/2016,INV,INV000159,30577,TOPS @ MALULEKE-GAU/034576,6001008506550,2084.00,2375.76,135.46,154.42,272.80,2221.34,296825
