DCEanCode,Supplier Primary EAN,Supplier Despatch Point,Vendor Code,DocDate,DocumentType,SupplierDocumentNo,StoreCode,StoreName,StoreEanCode,DocumentAmountExcl,DocumentAmountIncl,DiscountAmountExcl,DiscountAmountIncl,VatAmountPayable,NetAmountIncl,PaymentNumber
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013093206,30695,LIMPOPO SPAR   DC ACCOUNT,6001008507731,-69.00,-78.66,-2.07,-2.36,-9.37,-76.30,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162741,10050,BON ACCORD SPAR,6001008500008,-431.70,-492.14,-12.95,-14.76,-58.63,-477.38,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122176,30739,KOPANONG SUPERSPAR  DC ACCOUNT,6001008508172,37.86,43.16,1.14,1.30,5.14,41.86,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162814,30765,MENLO SUPERSPAR,6001008508424,-197.88,-225.58,-5.94,-6.77,-26.87,-218.81,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013090250,30956,ZAMBEZI SUPERSPAR,6001008510298,-2.65,-3.02,-0.08,-0.09,-0.36,-2.93,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013090706,30976,CENTURION SPAR,6001008510519,-749.61,-854.56,-22.49,-25.64,-101.80,-828.92,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013191090,30948,FLORA PARK SPAR,6001008510229,165.60,188.78,4.97,5.67,22.48,183.11,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162320,30304,MNANDI SPAR,6001008502781,-125.27,-142.81,-3.76,-4.29,-17.01,-138.52,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013089897,30844,DELY ROAD SUPERSPAR (NEWLANDS),6001008509254,-22.35,-25.48,-0.67,-0.76,-3.04,-24.72,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013109842,30612,SIBASA SPAR,6001008506901,278.28,317.24,8.35,9.52,37.79,307.72,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013162682,30324,COLUMBA KWIKSPAR,6001008503009,2801.75,3194.00,84.05,95.82,380.48,3098.18,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013157874,30988,MURRAYFIELD KWIKSPAR,6001008510632,-16.49,-18.80,-0.49,-0.56,-2.24,-18.24,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122890,30722,MOOIKLOOF SPAR,6001008508004,582.14,663.64,17.46,19.90,79.06,643.74,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162192,30791,WILLOW WAY SUPERSPAR,6001008508684,-234.94,-267.83,-7.05,-8.04,-31.90,-259.79,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013127462,10355,MARBLE HALL SUPERSPAR,6001008500152,129.79,147.96,3.89,4.43,17.63,143.53,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013091354,30945,SEDIBA SUPERSPAR,6001008510182,-8.20,-9.35,-0.25,-0.29,-1.11,-9.06,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162511,30222,LES MARAIS SPAR,6001008501968,-35.10,-40.01,-1.05,-1.20,-4.76,-38.81,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162278,30912,RYNEVELD SUPERSPAR,6001008509858,-668.50,-762.09,-20.06,-22.87,-90.78,-739.22,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013162653,30529,WINMORE SPAR,6001008505089,2454.76,2798.43,73.64,83.95,333.36,2714.48,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013090973,30926,CITY CENTRE S/SPAR BOND PERFEC,6001008509988,-946.71,-1079.25,-28.40,-32.38,-128.56,-1046.87,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122242,30239,BELA BELA SUPERSPAR,6001008502132,8586.22,9788.29,257.59,293.65,1166.01,9494.64,296745
6001008000041,6004930015367, ,005187,05/07/2016,INV,9013141509,30603,MIDSTREAM SUPERSPAR,6001008506819,164.90,187.99,4.95,5.64,22.40,182.35,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122912,30712,GLENFAIR SUPERSPAR,6001008507908,2416.48,2754.79,72.49,82.64,328.16,2672.15,296745
6001008000041,6004930015367, ,005187,05/07/2016,INV,9013141313,30738,SAXBY SUPERSPAR,6001008508165,1842.99,2101.01,55.29,63.03,250.28,2037.98,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122898,30909,SILVERTON SPAR,6001008509964,1437.41,1638.65,43.12,49.16,195.20,1589.49,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013089924,10284,KILNER PARK SUPERSPAR,6001008500107,-2.65,-3.02,-0.08,-0.09,-0.36,-2.93,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013093469,30300,SAFI SPAR,6001008502743,-424.58,-484.02,-12.74,-14.52,-57.66,-469.50,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013123458,30915,THE FIELDS SPAR,6001008509896,554.19,631.78,16.63,18.96,75.26,612.82,296745
