
STORE NAME	SUPPLIER NAME	CREDITNOTENO	CCREDITNOTE DATE	DISCPERC1	DISCPERC2	TRANSFERPERC	DUTYPERC	TOTAL COST
LADY FRERE SPAR	TIGER BRANDS - SNACKS AND TREATS	2030146180	2023/03/23					200.6635	

CLAIM NO	CLAIM DATE	CLAIM TYPE	INVOICE NO	INVOICE DATE
					
  
PRODUCT DESCRIPTION	PRODUCT CODE / ITEM CODE	QUANTITY	DEALPERC1	DEALPERC2	UNIT COST	LINE COST	REASON DESCR	GOODS RETURN DESCR
Wonder Bar Nut 23g x 48	1666	0			0		Goods Returned (Physical Stock) See Code List 10	
Wonder Bar Mint 23g x48	1664	0			0		Goods Returned (Physical Stock) See Code List 10	
Wonder Bar Milk 23g x48	1663	0			0		Goods Returned (Physical Stock) See Code List 10	
Bcn Orange Peel &amp;amp; Almd in Dark Choc	3230	0			0		Goods Returned (Physical Stock) See Code List 10	
Smoothies Menthol 4g x 72s	3416	0			0		Goods Returned (Physical Stock) See Code List 10	
Smoothies Mint 4g x 72s	3418	0			0		Goods Returned (Physical Stock) See Code List 10	
Craziberries 100g	8508	0			0		Goods Returned (Physical Stock) See Code List 10	
Maynards Sour Jelly Babies 75g	2726	0			0		Goods Returned (Physical Stock) See Code List 10	
AllSorts Non Liq Mini 75g x 24	2169	0			0		Goods Returned (Physical Stock) See Code List 10	
Maynards Mini Jelly Babies Funky Flavour	3306	0			0		Goods Returned (Physical Stock) See Code List 10	
Lovely Lollies Appl Flv Str 7s	8551	0			0		Goods Returned (Physical Stock) See Code List 10	
Lovely Lollies Chry Flv Str 7s	8550	0			0		Goods Returned (Physical Stock) See Code List 10	
Maynards Orig Wine Gum Rollx36	2148	0			0		Goods Returned (Physical Stock) See Code List 10	

