
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
SIMB PN RS SALTED 36X50G	KWA FETTING SPAR	16009510802938/003603	0000000039465		6	148.5	891.00
NIKN CHEESE 25X5X22G	KWA FETTING SPAR	16009510803485/005425	0000000039465		2	229.5	459.00
SIMB MEXICA 48X36G	KWA FETTING SPAR	16009510804345/004993	0000000039465		1	207.5	207.50
SIMB SMOKED 48X36G	KWA FETTING SPAR	16009510804376/004996	0000000039465		1	207.5	207.50
SIMB PN SALTED 24X60G	KWA FETTING SPAR	16009510805960/003607	0000000039465		1	151	151.00
SIMB PN RS SALTED 24X60G	KWA FETTING SPAR	16009510805977/003608	0000000039465		1	151	151.00
LAYS SPICY SALSA 48X36G	KWA FETTING SPAR	16009710723033/152645	0000000039465		1	236	236.00
DORITOS SWEET CHILLI 145G	KWA FETTING SPAR	16009710721527/146175	0000000039465		3	309.5	913.50
DORITOS SUPREME CHEESE 145G	KWA FETTING SPAR	16009710721534/146176	0000000039465		1	309.5	304.50
SIMBA HOTWINGS 24X120G	KWA FETTING SPAR	16009710721787/148976	0000000039465		1	321	309.00
SIMBA MUNCHIEZ CHEESE 110G BAG	KWA FETTING SPAR	16009710722401/148857	0000000039465		1	123	123.00
DORITOS 45G FLAMN HOT MASALA	KWA FETTING SPAR	16009710722432/150677	0000000039465		1	236	236.00
LAYS YAKITORI CHICKEN 36G	KWA FETTING SPAR	16009710723026/152644	0000000039465		1	236	236.00
NIKN CHEESE 22X135G	KWA FETTING SPAR	16009510808640/135996	0000000039465		1	215.5	215.50
SIMBA CREAMY CHD 120G	KWA FETTING SPAR	16009510809456/140351	0000000039465		3	321	927.00
SIMBA SMOKED BEEF 120G	KWA FETTING SPAR	16009510809463/140349	0000000039465		2	321	618.00
SIMBA CHEESE  ONI 120G	KWA FETTING SPAR	16009510809494/140366	0000000039465		2	321	618.00
LAYS SALTED 120G	KWA FETTING SPAR	16009710720629/141505	0000000039465		1	309.5	309.50
LAYS SWT  SMK AMERICAN BBQ 12	KWA FETTING SPAR	16009710720650/141520	0000000039465		2	309.5	619.00

