
PRODUCT DESCRIPTION	STORENAME	PRODUCT CODE / ITEM CODE	ORDERNO	DELIVERY DATE	QUANTITY	UNIT COST	LINE COST
HALLS MENTHOL EUCALYPTUS	NR GABY'S KWIKSPAR	60025296/4005657	0000000116608	23/06/2022	5	123.3	616.5
HALLS CHERRY	NR GABY'S KWIKSPAR	60025265/4005672	0000000116608	23/06/2022	5	123.3	616.5
HALLS ICE BLUE	NR GABY'S KWIKSPAR	60025258/4005677	0000000116608	23/06/2022	5	123.3	616.5
HALLS EXTRA STRONG	NR GABY'S KWIKSPAR	60025272/4005682	0000000116608	23/06/2022	5	123.3	616.5
CADBURY BARS 5 STAR	NR GABY'S KWIKSPAR	7622210622211/4029981	0000000116608	23/06/2022	2	279.36	558.72
HALLS C/DROPS F/EXPLOSION	NR GABY'S KWIKSPAR	60026125/4032701	0000000116608	23/06/2022	5	123.3	616.5
CADBURY DM BUBBLY MINT	NR GABY'S KWIKSPAR	7622210846389/4059050	0000000116608	23/06/2022	1	385.68	385.68
CADBURY DM BUBBLY	NR GABY'S KWIKSPAR	7622210846167/4059070	0000000116608	23/06/2022	1	385.68	385.68
CADBURY DM BUBBLY TOP DEC	NR GABY'S KWIKSPAR	7622210846396/4059074	0000000116608	23/06/2022	1	385.68	385.68
CADBURY DM BUBBLY OREO	NR GABY'S KWIKSPAR	7622210849199/4059419	0000000116608	23/06/2022	1	201.24	201.24
CADBURY DM CHOC BAR OREO	NR GABY'S KWIKSPAR	7622210957375/4072102	0000000116608	23/06/2022	2	397.44	794.88
OREO COOKIES ORIGINAL	NR GABY'S KWIKSPAR	7622201779030/4266598	0000000116608	23/06/2022	1	233.4	233.4
OREO COOKIES CHOCO CREAM	NR GABY'S KWIKSPAR	7622201779573/4266649	0000000116608	23/06/2022	1	233.4	233.4
OREO COOKIES GOLDEN	NR GABY'S KWIKSPAR	7622201787028/4267464	0000000116608	23/06/2022	1	235.2	235.2
CADBURY DM RST ALMOND	NR GABY'S KWIKSPAR	7622201809829/4269977	0000000116608	23/06/2022	1	484.31	484.31
HALLS CANDY ICED TEA	NR GABY'S KWIKSPAR	7622201811402/4270283	0000000116608	23/06/2022	5	137	685
CADBURY DM TABLET FUDGE	NR GABY'S KWIKSPAR	7622201691561/4281422	0000000116608	23/06/2022	1	484.31	484.31
CADBURY DM TABLET C/MACCH	NR GABY'S KWIKSPAR	7622201691608/4281423	0000000116608	23/06/2022	1	484.31	484.31
CADBURY DM TABLET ASTROS	NR GABY'S KWIKSPAR	7622201714307/4300701	0000000116608	23/06/2022	1	156.96	156.96
CADBURY DM TABLET 5 STAR	NR GABY'S KWIKSPAR	7622201714338/4300702	0000000116608	23/06/2022	1	156.96	156.96
CADBURY DM TABLET CRUNCH	NR GABY'S KWIKSPAR	7622201714376/4300703	0000000116608	23/06/2022	1	156.96	156.96
CADBURY BUBBLY MINT	NR GABY'S KWIKSPAR	6001065600529/641762	0000000116608	23/06/2022	2	441.9	883.8
STIMOROL INFINITY MINT	NR GABY'S KWIKSPAR	6001065600796/672215	0000000116608	23/06/2022	1	163.2	163.2
CADBURY CRUNCHIE LARGE	NR GABY'S KWIKSPAR	6001065036427/672272	0000000116608	23/06/2022	1	349.2	349.2
CADBURY SLAB CARAMEL	NR GABY'S KWIKSPAR	6001065600888/673148	0000000116608	23/06/2022	1	349.2	349.2
CADBURY CARAMEL	NR GABY'S KWIKSPAR	6001065600871/673152	0000000116608	23/06/2022	2	349.2	698.4
CADBURY PS D/MILK ORG	NR GABY'S KWIKSPAR	6001065034065/673859	0000000116608	23/06/2022	1	349.2	349.2
CADBURY PS CARAMILK LARGE	NR GABY'S KWIKSPAR	6001065034089/673862	0000000116608	23/06/2022	1	349.2	349.2
CADBURY ASTROS	NR GABY'S KWIKSPAR	6001065034324/673887	0000000116608	23/06/2022	1	349.2	349.2
CADBURY SLAB FRUIT   NUT	NR GABY'S KWIKSPAR	6001065601014/677103	0000000116608	23/06/2022	1	327.89	327.89
CADBURY SLAB CASHEW C/NUT	NR GABY'S KWIKSPAR	6001065601021/677116	0000000116608	23/06/2022	2	327.89	655.78
CADBURY SLAB DAIRY MILK	NR GABY'S KWIKSPAR	6001065601038/677117	0000000116608	23/06/2022	2	331.2	662.4
CADBURY SLAB DREAM BISC	NR GABY'S KWIKSPAR	6001065601052/677129	0000000116608	23/06/2022	2	331.2	662.4
CADBURY SLAB DAIRY MILK	NR GABY'S KWIKSPAR	6001065601069/677132	0000000116608	23/06/2022	1	327.89	327.89
CADBURY SLAB MINT CRISP	NR GABY'S KWIKSPAR	6001065601076/677133	0000000116608	23/06/2022	1	327.89	327.89
CADBURY SLAB BISCUIT	NR GABY'S KWIKSPAR	6001065601083/677134	0000000116608	23/06/2022	2	327.89	655.78
CADBURY SLAB TOP DECK	NR GABY'S KWIKSPAR	6001065601090/677135	0000000116608	23/06/2022	1	327.89	327.89
CADBURY SLAB RUM RAISIN	NR GABY'S KWIKSPAR	6001065601106/677136	0000000116608	23/06/2022	1	327.89	327.89
CADBURY SLAB TOP DECK MIN	NR GABY'S KWIKSPAR	6001065601113/677137	0000000116608	23/06/2022	2	327.89	655.78
CADBURY SLAB WHOLE NUT	NR GABY'S KWIKSPAR	6001065601229/677147	0000000116608	23/06/2022	2	489.2	978.4
